Obscure_encounters,Wilderness_hooks,General Story Hooks,City_plots,Npc_Traits,Encounters_b,Dungeon_dangers,Overhead_phrases,inn_encounters
"A small pack of wererats have taken up residence in the city sewers, and keep causing trouble for the locals.","In a land where inheritance is strictly to the eldest child, a lord seeks professional assistance to terminate his stupid and vicious eldest son to clear the way for a more competent and reasonable younger sibling.",Gather rare medicinal herbs to help the local healer brew a salve for Little Timmy who's sick.,A group of adventurers are causing chaos in the town. The guards are alert and put on edge due to them. The PCs can stop them for a hefty reward.,"They have an exceptionally athletic body, not an ounce of fat is visible and they seem ready to jump into action at any time.",A wolf with two heads is seen heading towards you. Snarling it grows a third head and attacks. Has a single Cone of Flame attack along with a triple bite attack that it can use on up to three targets in melee range.,The bitter taste of almonds hits your throat,"“So I’m sitting there, covered in grog and the tentacles can’t even touch me...”","There's a postal card with a picture of a distant place, such as the Nine Hells, the Feywild or Mount Celestia."
"A farmer says he’s heard strange singing in the night in his corn field, but whenever he goes out to look, he doesn’t find anyone. If that wasn’t strange enough, one morning he found his scarecrows had been moved into a circle.","The player characters are tasked with investigating a small village that has been cut off from the rest of the world for many years. Upon arriving, they find that the village is ruled by a powerful and mysterious sorceress who has promised to keep the villagers safe from harm in exchange for their loyalty and obedience. The players must decide whether to overthrow the sorceress and free the villagers, or to try to work with her to uncover the dark secrets that the village is hiding.",The town's blacksmith has broken his arm. Figure out a way to keep the town supplied until he's back on his feet.,"Some miscreant has opened the city’s aviary, and now there’s a storm of birds all around the city so thick it is disturbing market business city-wide.","They have an unusually androgynous look, making it hard to know what gender they identify as.",A groom is running away from his arranged marriage to a terrible person and their equally terrible family. u/grogcore,A disembodied/ethereal hand slams the door shut behind,“... it was THIS big! And that was just between the eyes!”,Room service knocks on your door with a tray with a small feast on it. It's up to the DM if it was intended for you or not.
"The party is told of a local merchant who specializes in Magical items. The merchant’s name is Foezek and is described as an intelligent, compassionate Shedu. But, when the PCs seek out the shop, they find another being claiming to be Foezek and is more interested in them leaving the shop than dealing with them. In truth, this bandit killed Foezek and is dealing his magical items to an adversary of the DM’s choosing. Foezek’s body can be found in the shop (basement, or behind the counter, etc.).",The fair maiden wants help eloping with her true love against the wishes of her overbearing parents. There are disturbing signs that her true love is a cad and her parents may have a point.,An NPC's party is a total snooze fest. Liven it up. Let your players interpret that as they wish...,"A man proclaiming to be a prophet of a deity is going around the town doing “miracles.” In reality he’s just a powerful [mage/sorcerer/warlock] looking for a following, but his magic is having unintended consequences.","They have something eerie, out of this world with their appearance, not quite beautiful, not ugly, just striking.",A thief that has stolen a wagon of treasure from the town the players are headed to. The town guards catch up with the thief and assume the party is part of the theft. u/LocardIII,The floor squelches beneath the player's feet,“You really think she’s into it...?”,There is an extra pillow on your bed. One is a mimic. It has much less hp than a regular mimic and explodes into teeth and feathers and blood when you kill it. [/u/AwkwardTRexHug]
The party is walking through a town when they meet an blind old man who is crawling on the ground looking for his ring. A guard watched him drop it and took it for himself.,"The King wishes you to safely escort a foreign princess to their kingdom, you later find out the princess was setup with a forced marriage arrangement between the two kingdoms to improve their diplomatic relations. She is actually in love with another person back at her home and wishes to be set free to return.",Negotiate with the local kobold tribe over mining rights and dues.,"A caravan heading for the city will be ambushed and robbed in [x] days. If it's not stopped, there will be various supply shortages within the city.","They have noble blood in their veins, and they know it. Their face is the shape of a statue of old, and their whole body exudes this holier than thou (or at least better!).","A group of traveling actors who are actually doppelgängers, but they truly enjoy theater and won’t attack the party as long as they are watching the show. At some point during the performance, the party may notice the costume changes are happening far too quickly, and there are far more characters in the play than there are actors... u/sonofabutch","The entire room is empty, save for a child's doll on a table in the side. It's facing the door, and has those sunken eyes that look like they're following the party. When they aren't looking, the doll will turn it's head to face the party","""...so my fist got the sucker in his liver and that little weasel went scurryin'! But enough about your husband, how are you doing?""",You hear someone weeping in the middle of the night. The staff says it's from a ghost.
The party finds a dagger on the body of an enemy that is much heavier than a dagger should be.,"The party is tasked to find the culprit of a murder that could start a war on the realm if it goes unpunished. The murderer is revealed to be a close friend of the party. It was just an accident and they didn't know what to do, so they fled.","Spy on the populace for a local lord, to find the insurrectionists.",A prisoner will break out of jail in [x] days. If not stopped or captured this criminal will go on a crime spree. 1-2 burglary / 3-4 mugging / 5-6 murder,"They have a body marked by hard work, strong arm and back, little scars and calluses proves they worked all their life.",A group of Orcs surrounds the party (and can optionally imprison them/lead them to a camp). They will kill them for sport unless they can sufficiently entertain them musically. u/dynawesome,"A pile of smouldering ash sits in the centre of the room. A single, charred plank of wood is next to it. That plank is covered in barnacles and seems to come from the bottom of a ship","""No, no, no, the pigeon is the least of your problems..""",A killmoulis or another well-intentioned creature scurries out of sight when it sees you.
The party wakes up mixed up in each other’s bodies after night of drinking at an inn.,A noble/wealthy trader's child is gravely ill and they are quickly building up a debt trying to pay for healers from far and wide. The party has been tasked to end the child's life to prevent the town from falling any further into debt to its neighbors and loan sharks.,"Convince a proud weapon smith to make plow shares, instead of his legendary blades. (The blades end up sentient and cursed after so many battles.)","A related group of (guilds, merchants, nobles) will be robbed in [x] days","They are delicate. Their skin is not used to see any sun, they probably spent most of their time indoor protected for the outside","A merchant in a wagon sells items to travelers, but all of them are mimics and he knows, he just loves fooling people. Little does he know the wagon itself is a giant mimic (on a successful perception check the players can notice its features, and can then decide whether or not to tell him. If they reveal it, it attacks the merchant).",The not-too-distant sound of rumbling shakes the ground a little,"""Oh god, its the goose. run.""","The view from the window doesn't match the location: it could be the view of a tropical beach in the middle of the city, and so on."
"A small chest from the spell Leomund’s Secret Chest falls from the sky. When the party finds a wizard to open the chest is filled with their own equipment, along with a note book keeping track of their actions.","The party is tasked with defending a peace summit between two nations, one much stronger than the other. The peace deal is clearly lopsided to the stronger side. The party soon discovers a plot to disrupt the peace summit and assassinate an important figure on the stronger side by freedom fighters/terrorists on the weaker side. Protecting the summit will mean the weak nation will be stuck with a bad deal, but letting the assassination go through (or assisting it) may mean it will be conquered entirely.","Infiltrate a thieves guild, to unmask the new “Puppet Master.”","A specific (guild, house, merchant, museum, noble) will be robbed in [x] days","They are the picture perfect of the standard of beauty of the area. They are the first thing that comes to mind when people think of ""beautiful people"".","Krung, the orcish Iron-War-Chef offers to make the players a meal of their life time if they can provide the proper ingredients. If the players are cool to Krung he prepares them the most amazing meal on their return, if they’re rude to him he may try to make them his latest dish. u/Matasmic",The door behind closes on it's own. It softly clicks and the sound of grinding metal gears comes from the walls and ceiling,"""Hey, who moved my cheese?""","You see someone jumping from your window, landing gracefully on the ground, and darting away."
"The party continues to wake up in the same inn, but different rooms each morning.","You are tasked with bringing down a pirate queen by local authorities, but as your party investigates, it soon becomes clear that there is a power struggle in her organization, with many chaffing against the ""benevolent"" codes of the Pirate Queen (in my game it was banning slave traders but you might want something lighter). Removing her from power will bring in a new pirate lord that is far more dangerous and has far fewer scruples.",Rebuild a home destroyed by bandits,"In [x] days, an estate auction takes place. The deceased was an (1. alchemist / 2. artificer / 3. collector of the unusual / 4. ex-adventurer / 5. explorer / 6. inventor, mage)","They don't belong here. There is something in the way they are that is strikingly at odds with the area. Maybe they are from somewhere else, or their style is of their own creation.","A broken caravan is found with dead horses and a crying woman in rags, saying her party got capture by monsters/slimes and she need help. She leads them into the swamp/forest and is luring them in a trap, since she is a hag disguise u/Corruptionfever45","The floor is a giant chessboard. There are giant pieces, and anything on a white square has disintegrated. This trap is no longer in effect, but the door on the opposite side is a lot bigger than the one the party came from","“Just hire some band of adventurers to do it, they will accept anything as long as you tell them it’s a quest.”",A Halfling tied to a rope is cleaning the window glasses from outside.
"One of the party members is suddenly extremely allergic to cats, the rest of the party members clothes are suddenly made of cat fur. The change in clothing isn’t immediately noticable.","A small village has been plagued by a mysterious curse that causes crops to wither and animals to sicken. The players are asked to investigate the cause of the curse and remove it. However, as they delve deeper, they discover that the curse was placed by the villagers themselves, as a last resort to protect themselves from an even greater evil. The players must decide whether to lift the curse and risk unleashing the evil, or to leave the village to its fate.",Help a local cleric move a sofa,"In [x] days, a delegation of diplomats (nearby realm, distant realm, race) passes through the city on their way to the capital.",They have impressive hair (or facial hair) be it their length or their presentation. They can have very elaborate hairdressing or simply ostensious color.,"A shepherd and his herd of sheep/goats/cattle that are being chased by a beast (e.g. wolf pack, owlbear). u/eriocactus","The ceiling is covered in spikes. (Roll D6, if 5 or 6, there is a dead body dripping blood)","""How awful... did he at least die painlessly?... to shreds you say...""",You find a peephole in the wall.The innkeep is actually a peeping tom and watching the party. [/u/SeaPen333]
The party is summoned by a king to be his friends for a day.,The people of a town talk of a demonic force that is terrorizing a few buildings and they want it gone. The demonic force is a very young child who lost their parents and made a pact with a fiend/devil to play with the child and keep them company forevermore.,Re-light a signal fire on top of a mountain,"In [x] days, a herd of animals (cows, goats, pigs, sheep) escapes from the market and runs amuck in the city. If not stopped, random animal event for 1d6 days, every few hours roll 1-2 amusing animal mischief, 3-4 injury caused by animal, 5-6 property damage caused by animal.","They don't have any shred of hair on their body, nor facial, not on the head and even their brow is shaved.",You spot a lot of smoke and upon investigation you find a fortress on fire. There are people trapped on the top floor. A party of humanoids have noticed as well. u/cdjcon,"There is a candle chandelier hanging from the ceiling. But the ceiling is 100 feet in the air, and spinning slightly, as if it were handled just recently","""Jones's dog went missing, you wouldn't happen to know anything about that, would you, Elkard?""",The old bed breaks under your weight.
There is a bounty out on the dish breaking bandit.,"An executioner for the local power, a church, has asked you to rescue their child who has been kidnapped by a group of ""bandits"" attempting to stop the execution of their leader. The group of bandits are freedom fighters attempting to stop the merciless and corrupt church who is killing any who dare to question their authority, using ways that's not necessarily readily seen as beneficial to the regular people.",Participate in a talent show,"In [x] days, pilgrims arrive in the city on their journey to ""x""","They have impressive markings, tattoos or scarification all over their body. Be it the result of a drunken night, or of a highly ritualized ceremony, or even the shame of a mistake or an injustice.","A groupe of peasant sitting on top of a chariot full of wheat, redistributing it to the people at a fair price. While the merchant is attached to a wheel. (Historically accurate) u/NoelReach","Someone is chained to a table in the middle of the room. Their entire torso has been cut open, and their insides are spilling out. The show no sign of being alive, except for the still-beating heart in their chest","""You still got that book on how to get demons out of pigeon?""","The paint on a wall is chipped. If inspected, it shows it was covering a blood stain."
"One of the party members suddenly starts to sleepwalk, and breaks dishes in his sleep.","A group of wood elves hires the party to sabotage a factory that is polluting the local river and killing the wildlife. The gnome factory owner claims that the pollution is an accident and that they are working to fix the problem, but the elves insist that the owner is lying and that the factory must be destroyed. The party must decide whether to trust the elves or the factory owner, and whether to take action against the factory or try to find a peaceful solution.",Challenge the village bullies to a game of basketball,"In [x] days, a traveling merchant passes through the city. He or she sells things that are not commonly available in the city.","Everything in their appearance makes them look harmless and innocent. Their clothes are pure and without any stain, and they don't wear any sign of hostility ever.","As you approach a bend in the road, a half elf in brightly colored clothing who is riding hard pulls himself to a stop and hails the party in a familiar manner. Perhaps he tries to hand them a purse or satchel. This interaction is witnessed by the large party of riders that round the bend a few rounds later. The half-elf acts surprised to see them, yells a warning to the party, then resumes fleeing.","A book on how to cast invisibility is laying on the floor, seemingly dropped there. It's written in a language one of the players knows. There are empty, locked cages throughout the room","""These owl tassels cost HOW much?""",Someone knocks on your door: it's a cultist asking for some spare bone and blood powder.
An angry gnome tinkers with the sleeping party’s equipment. Everything now has combination locks.,"A local lord enlists the help of the party to track down a monster that has slain some of his guards and destroyed a small cottage in the woods last night, killing all inside. It his escaping into the mountains, and they must hurry. As they follow the trail of the creature, they learn that the creature was [Summoned / Brought Here / Created] to be the focus of a great hunt the lord wanted to hold for their birthday. The creature proved too powerful to contain, and it is trying to head home, now. All deaths related to it are a result of the lord's efforts to stop and recapture the creature.",Deliver secret letters for two star crossed lovers from rival houses.,"There is billowing smoke in the distance, but if investigated, it is no fire. Instead, an alchemist has gotten a little too eager and mixed dangerous chemicals. He's still inside the shop where the smoke is billowing from, and will die if not rescued...","They are scary.Their face is that of a shark, and all in their being smells like trouble.","A rider moving at full gallop emerges from the brush at the side of the road in front of you. It’s a young maiden with red curly hair and a bow strapped to her back. She completely ignores you as she and her horse leaps over a fallen log and continues on a smaller side trail, disappearing into the brush. Moments later a very large, and very angry dire bear emerges from the direction she came from.","The distinct sound of dripping comes from nearby, but the air is bone-dry","""You know, it's about time they put a Tavern in that Orphanage.""",Someone knocks on your door: it's the city watch looking for dangerous cultists.
"Weird noises have been heard at night coming from an older resident’s home in town. When investigated, you discover a worried old man attempting to disguise his worry at your interest in the noise and his business. If convinced that your aid is genuine, or if more discreet measures of observations are taken, you discover his wife is afflicted with lycanthropy despite having no bite marks.","The party is hired to investigate and prevent a series of horrible and bloody murders in a nearby village. They eventually discover that the murders are caused by a creature who is seeking revenge against the villagers. The villagers had conducted a desperate magical ritual in hopes to bless their failing crops, but with little knowledge of magic, it failed horribly, corrupting one of the villagers, whom they then ran out of town in shame and disgust. The villagers are ashamed and resistant to explaining the truth. The monster just wants justice, at any cost.",Solve the murder mystery.,"The alleged leader of the local thieves' guild has finally been caught, and being made a public example of... though he insists it's a case of mistaken identity.","They have way too much clothing on them, scarf, ribbon, vest. Regardless of the temperature and situation.",2 black bears are rummaging a caravan when they adventurers hear an old men yell “My cabbages!” u/devonkidwell,"In the previous room, the party could hear distant noises. Now, it's complete silence",“Some holy woman - she’s slept with half the nuns!!!”,The scales/feathers/fur/nail clippings from the last guest are still scattered on the floor.
The local towns people are complaining about a goblin tribe that has set up camp near by. They are acting strange and have begun constructing statues of a goblin with a pointy hat all over the area.,"The player characters are hired by a wealthy merchant to investigate strange happenings at his isolated country estate. Upon arriving, they discover that the mansion is haunted by the vengeful spirits of the merchant's ancestors, who were murdered for their wealth and power. The players must decide whether to help lay the spirits to rest, or to try to use their powers for their own gain.",Find the elven queen and get magical soil and seeds to heal the recently cleaned blighted forest.,"There's a nasty illness going around the city. Lately, more and more are falling ill. It's nothing terrible, and few actually die, but there's murmurs of it having an unnatural source...","They are over-accessorised. Every part of their body is covered in jewelry, pearls and any other kind of accessory. Whenever they move, it makes a cascade of sound.","You stumble across a pile of dead bodies in the middle of the road. Bandits have struck. Then, you see their eyes begin to glow and a fledgling necromancer appears from behind the bushes. He calls himself ""the collector"" u/Milkslinger",The sound of beastly snarls and growls can be heard,"""I'm going to the bear pits tomorrow. Wanna come with?""","You hear knocking on your door. When you open it, there's nobody around, but you hear giggles from the corridor."
As the party is walking through a road they come across a beggar. He is crippled and asks for some money to help him buy food. As the party continues to walk down the road they find another beggar who looks exactly like the one they just met! When asked he says that he doesn’t have a twin brother or anything of the sort. He doesn’t know what the party is taking about and just wants some coin to buy food. As the party continues to walk they find the same man yet again. He to knows nothing. Upon further investigation they discoverer that the man was once an assistant to a local wizard. And the wizard is an expert in human cloning.,"The party is tasked to hunt down an assassin who is currently responsible for a considerable number of gruesome murders in the city, with the bodies being left on display after each killing. The assassin is actually systematically dismantling the large merchant organization who was responsible for the bankruptcy and subsequent ruination of her family when they refused to sell their family business to the organization and were undercut and outbid on every following contract in the region.",Win a tournament of carnival games.,An incredibly rich businessman is giving away all of his wealth. Citizens are wondering what could cause him to have such a change of heart.,"They have only the bare minimum of clothing on them, irregardless of the temperature, or the situation. If possible they won't even wear clothing at all.","Four small dirt piles are found scattered in the road ahead of you, along with a young child digging and carefully burying a potion. When asked what they are doing, the young child replies, “A man will give me coin to bury these potions. Don’t step on them, they’ll go ‘boom’!” u/McBeardedson","The floor and walls are clean. Not a speck of dust, not a single item out of place",“And they were roommates...”,"There is a huge party outside/on the lower floor of the inn. Because of the noise, you won't sleep soundly."
