game|faction_type|faction_id|faction_name|category|name|type|legend|description|,,,,,,,,,,,,,,,,,,,,,,,,
War Zone Nachmund: Grand Tournament||||Shadow Operations|INVESTIGATE SIGNAL|Progressive Objective|A mysterious signal has been received by our fleet in the Octarius war zone, and its source has been identified as originating somewhere in the vicinity of this battlefield. You must secure," search and locate it without delay.|Score 3 victory points each time a unit from your army successfully completes the following <a href=""/wh40k9ed/the-rules/core-rules/#Actions"">action</a>:<br><br><b>Investigate Signal (Action):</b> One <span class=""kwb"">INFANTRY</span> unit from your army that contains 3 or more models can start to <a href=""/wh40k9ed/the-rules/core-rules/#Performing-Actions"">perform this action</a> at the end of your <a href=""/wh40k9ed/the-rules/core-rules/#MOVEMENT-PHASE"">Movement phase</a> if it is <a href=""/wh40k9ed/the-rules/core-rules/#Within-and-Wholly-Within"">wholly within</a> 6"" of the centre of the battlefield. This action is completed at the end of your turn provided the unit attempting it is still wholly within 6"" of the centre of the battlefield and no enemy units (excluding <a href=""/wh40k9ed/the-rules/core-rules/#Aircraft""><span class=""kwb"">AIRCRAFT</span></a> units) are wholly within 6"" of the centre of the battlefield.|",,,,,,,,,,,,,,,,,,,,,,
War Zone Nachmund: Grand Tournament||||Shadow Operations|RETRIEVE NACHMUND DATA|End Game Objective|Several servo-skulls containing vital data have been lost within this region. Locate and retrieve these at all cost.|If you select this objective, keep a Retrieved Data tally. In addition," units in your army can perform the following <a href=""/wh40k9ed/the-rules/core-rules/#Actions"">action</a>:<br><br><b>Retrieve Data (Action):</b> One <span class=""kwb"">INFANTRY</span> or <span class=""kwb"">BIKER</span> unit from your army can start to <a href=""/wh40k9ed/the-rules/core-rules/#Performing-Actions"">perform this action</a> at the end of your <a href=""/wh40k9ed/the-rules/core-rules/#MOVEMENT-PHASE"">Movement phase</a> if it is <a href=""/wh40k9ed/the-rules/core-rules/#Within-and-Wholly-Within"">wholly within</a> a table quarter that has not had a servo-skull retrieved by your army (see below) and it is more than 6"" away from any other table quarter. This action is completed at the end of your turn provided the unit attempting it is still within the same table quarter. If this action is successfully completed", roll one D6," subtracting 1 from the result if the unit that completed the action has the Troops <a href=""/wh40k9ed/the-rules/core-rules/#Battlefield-Role"">battlefield role</a>: if the result is less than or equal to the number of models currently in that unit", that table quarter is said to have had a servo-skull retrieved by your army and you add 1 to your Retrieved Data tally.<br><br>At the end of the battle, score 4 victory points if your Retrieved Data tally is 2, score 8 victory points if your tally is 3, or score 12 victory points if your tally is 4.|,,,,,,,,,,,,,,,,
War Zone Nachmund: Grand Tournament||||Shadow Operations|DEPLOY TELEPORT HOMERS|Progressive and End Game Objective|If your vanguard forces deploy a series of teleport homers deep within enemy territory in preparation for the fleet's arrival, we will be able to launch a deadly surprise assault.|If you select this objective," then units from your army can perform the following <a href=""/wh40k9ed/the-rules/core-rules/#Actions"">action</a>:<br><br><b>Deploy Teleport Homer (Action):</b> One <span class=""kwb"">INFANTRY</span> or <span class=""kwb"">BIKER</span> unit from your army can start to <a href=""/wh40k9ed/the-rules/core-rules/#Performing-Actions"">perform this action</a> at the end of your <a href=""/wh40k9ed/the-rules/core-rules/#MOVEMENT-PHASE"">Movement phase</a> if it is <a href=""/wh40k9ed/the-rules/core-rules/#Within-and-Wholly-Within"">wholly within</a> 12"" of your opponent’s deployment zone. If the unit attempting this action has the Troops <a href=""/wh40k9ed/the-rules/core-rules/#Battlefield-Role"">battlefield role</a>"," the action is completed at the end of your turn; otherwise the action is completed at the end of your next <a href=""/wh40k9ed/the-rules/core-rules/#COMMAND-PHASE"">Command phase</a>. In either case"," the action is only completed if the unit attempting it is still wholly within 12"" of your opponent’s deployment zone.<br><br>Each time a unit from your army successfully completes this action", you score 2 victory points (you score 4 victory points instead if the unit completed the action while wholly within your opponent’s deployment zone).|,,,,,,,,,,,,,,,,,,,
"War Zone Nachmund: Grand Tournament||||Battlefield Supremacy|BEHIND ENEMY LINES|Progressive Objective|Despatch a spearhead to break through the enemy's defences and cut off their routes of escape.|Score 2 victory points at the end of your turn if one unit from your army (excluding <a href=""/wh40k9ed/the-rules/core-rules/#Aircraft""><span class=""kwb"">AIRCRAFT</span></a> units) is wholly within your opponent’s deployment zone. Score 4 victory points at the end of your turn instead if two or more units from your army (excluding <span class=""kwb"">AIRCRAFT</span> units) are wholly within your opponent’s deployment zone.|",,,,,,,,,,,,,,,,,,,,,,,,
"War Zone Nachmund: Grand Tournament||||Battlefield Supremacy|ENGAGE ON ALL FRONTS|Progressive Objective|No part of the battlefield can be left unchallenged.|Score 2 victory points at the end of your turn if you have one or more qualifying units (see below) from your army <a href=""/wh40k9ed/the-rules/core-rules/#Within-and-Wholly-Within"">wholly within</a> three different table quarters"," and those units are all more than 6"" from the centre of the battlefield. Score 3 victory points instead if you have one or more qualifying units from your army wholly within each table quarter"," and those units are all more than 6"" from the centre of the battlefield. A qualifying unit is one that contains 3 or more models"," or one that contains 1 or more <span class=""kwb"">VEHICLE</span> or <span class=""kwb"">MONSTER</span> models.|",,,,,,,,,,,,,,,,,,,,,
"War Zone Nachmund: Grand Tournament||||Battlefield Supremacy|STRANGLEHOLD|Progressive Objective|Maintain a stranglehold on your foe by dominating key strategic locations in the area.|Score 3 victory points at the end of your turn if you control 3 or more <a href=""/wh40k9ed/the-rules/core-rules/#Objective-Markers"">objective markers</a> and you also control more objective marker than your opponent controls.|",,,,,,,,,,,,,,,,,,,,,,,,
War Zone Nachmund: Grand Tournament||||Shadow Operations|RETRIEVE NACHMUND DATA|End Game Objective|Several servo-skulls containing vital data have been lost within this region. Locate and retrieve these at all cost.|If you select this objective, keep a Retrieved Data tally. In addition," units in your army can perform the following <a href=""/wh40k9ed/the-rules/core-rules/#Actions"">action</a>:<br><br><b>Retrieve Data (Action):</b> One <span class=""kwb"">INFANTRY</span> or <span class=""kwb"">BIKER</span> unit from your army can start to <a href=""/wh40k9ed/the-rules/core-rules/#Performing-Actions"">perform this action</a> at the end of your <a href=""/wh40k9ed/the-rules/core-rules/#MOVEMENT-PHASE"">Movement phase</a> if it is <a href=""/wh40k9ed/the-rules/core-rules/#Within-and-Wholly-Within"">wholly within</a> a table quarter that has not had a servo-skull retrieved by your army (see below) and it is more than 6"" away from any other table quarter. This action is completed at the end of your turn provided the unit attempting it is still within the same table quarter. If this action is successfully completed", roll one D6," subtracting 1 from the result if the unit that completed the action has the Troops <a href=""/wh40k9ed/the-rules/core-rules/#Battlefield-Role"">battlefield role</a>: if the result is less than or equal to the number of models currently in that unit", that table quarter is said to have had a servo-skull retrieved by your army and you add 1 to your Retrieved Data tally.<br><br>At the end of the battle, score 4 victory points if your Retrieved Data tally is 2, score 8 victory points if your tally is 3, or score 12 victory points if your tally is 4.|,,,,,,,,,,,,,,,,
War Zone Nachmund: Grand Tournament||||Shadow Operations|INVESTIGATE SIGNAL|Progressive Objective|A mysterious signal has been received by our fleet in the Octarius war zone, and its source has been identified as originating somewhere in the vicinity of this battlefield. You must secure," search and locate it without delay.|Score 3 victory points each time a unit from your army successfully completes the following <a href=""/wh40k9ed/the-rules/core-rules/#Actions"">action</a>:<br><br><b>Investigate Signal (Action):</b> One <span class=""kwb"">INFANTRY</span> unit from your army that contains 3 or more models can start to <a href=""/wh40k9ed/the-rules/core-rules/#Performing-Actions"">perform this action</a> at the end of your <a href=""/wh40k9ed/the-rules/core-rules/#MOVEMENT-PHASE"">Movement phase</a> if it is <a href=""/wh40k9ed/the-rules/core-rules/#Within-and-Wholly-Within"">wholly within</a> 6"" of the centre of the battlefield. This action is completed at the end of your turn provided the unit attempting it is still wholly within 6"" of the centre of the battlefield and no enemy units (excluding <a href=""/wh40k9ed/the-rules/core-rules/#Aircraft""><span class=""kwb"">AIRCRAFT</span></a> units) are wholly within 6"" of the centre of the battlefield.|",,,,,,,,,,,,,,,,,,,,,,
War Zone Nachmund: Grand Tournament||||Shadow Operations|RAISE THE BANNERS HIGH|Progressive and End Game Objective|Claim the battlefield and display your colours high so that the enemy is in no doubt as to their defeat.|If you select this objective," then units in your army can perform the following <a href=""/wh40k9ed/the-rules/core-rules/#Actions"">action</a>:<br><br><b>Raise Banners (Action):</b> One or more <span class=""kwb"">INFANTRY</span> units from your army can start to <a href=""/wh40k9ed/the-rules/core-rules/#Performing-Actions"">perform this action</a> at the end of your <a href=""/wh40k9ed/the-rules/core-rules/#MOVEMENT-PHASE"">Movement phase</a>. Each unit from your army that starts to perform this action must be in range of a different <a href=""/wh40k9ed/the-rules/core-rules/#Objective-Markers"">objective marker</a> that does not have one of your banners raised upon it (see below). A unit cannot start this action while there are any enemy units (excluding <a href=""/wh40k9ed/the-rules/core-rules/#Aircraft""><span class=""kwb"">AIRCRAFT</span></a> units) in range of the same objective marker. The action is completed at the end of your turn. If this action is successfully completed"," that objective marker is said to have one of your army’s banners raised on it (the banner is ‘removed’ if your opponent controls the objective marker at the start of any phase).<br><br>Score 1 victory point at the end of each of your <a href=""/wh40k9ed/the-rules/core-rules/#COMMAND-PHASE"">Command phases</a>", and 1 victory point at the end of the battle, for each objective marker on the battlefield that has one of your banners raised upon it.|,,,,,,,,,,,,,,,,,,,,
War Zone Nachmund: Grand Tournament||||Purge the Enemy|TITAN HUNTER|End Game Objective|The foe has committed its largest weapons of war to this battlefield. The larger the foe," the greater the glory.|Score 4 victory points at the end of the battle if one enemy <span class=""kwb"">TITANIC</span> model is destroyed"," 9 victory points if two enemy <span class=""kwb"">TITANIC</span> models are destroyed"," or 15 victory points if three or more enemy <span class=""kwb"">TITANIC</span> models are destroyed.|",,,,,,,,,,,,,,,,,,,,,
"War Zone Nachmund: Grand Tournament||||Purge the Enemy|BRING IT DOWN|End Game Objective|The opposing army contains numerous heavily armoured units. Take any opportunity to bring them down.|Score 1 victory point at the end of the battle for each enemy <span class=""kwb"">MONSTER</span> or <span class=""kwb"">VEHICLE</span> model with a Wounds characteristic of 9 or less that is destroyed"," 2 victory points for each enemy <span class=""kwb"">MONSTER</span> or <span class=""kwb"">VEHICLE</span> model with a Wounds characteristic of between 10-14 that is destroyed"," and 3 victory points for each enemy <span class=""kwb"">MONSTER</span> or <span class=""kwb"">VEHICLE</span> model with a Wounds characteristic of 15 or more that is destroyed.|",,,,,,,,,,,,,,,,,,,,,,
War Zone Nachmund: Grand Tournament||||Warpcraft|WARP RITUAL|End Game Objective|Completion of a complex ritual will allow your psykers to fully harness the power of the warp.|If you select this objective," keep a tally of Ritual points; add 1 to that tally each time a unit from your army successfully completes the following <a href=""/wh40k9ed/the-rules/core-rules/#Performing-Psychic-Actions"">psychic action</a> during the battle:<br><br><b>Warp Ritual (Psychic Action - Warp Charge 3):</b> One <span class=""kwb"">PSYKER</span> <span class=""kwb"">CHARACTER</span> unit from your army can attempt to <a href=""/wh40k9ed/the-rules/core-rules/#Performing-Psychic-Actions"">perform this psychic action</a> in your <a href=""/wh40k9ed/the-rules/core-rules/#PSYCHIC-PHASE"">Psychic phase</a> if it is within 6"" of the centre of the battlefield.<br><br>At the end of the battle", score 3 victory points if your Ritual tally is 1, score 7 victory points if your tally is 2, or score 12 victory points if your tally is 3 or more.|,,,,,,,,,,,,,,,,,,,,
"War Zone Nachmund: Grand Tournament||||Purge the Enemy|ASSASSINATION|End Game Objective|The enemy looks to their champions for courage. Identify and eliminate them with extreme prejudice.|Score 3 victory points at the end of the battle for each enemy <span class=""kwb"">CHARACTER</span> model that is destroyed. If the enemy <a href=""/wh40k9ed/the-rules/core-rules/#The-Warlord""><span class=""kwb"">WARLORD</span></a> was destroyed during the battle", gain 1 additional victory point.|,,,,,,,,,,,,,,,,,,,,,,,
"War Zone Nachmund: Grand Tournament||||Warpcraft|ABHOR THE WITCH|End Game Objective|The presence of enemy psykers in this theatre of war can no longer be tolerated - hunt them down.|You cannot select this secondary objective if your army includes any <span class=""kwb"">PSYKER</span> units. Score 3 victory points at the end of the battle for each enemy <span class=""kwb"">PSYKER</span> <span class=""kwb"">CHARACTER</span> unit that is destroyed"," and 2 victory points for every other enemy <span class=""kwb"">PSYKER</span> unit that is destroyed.|",,,,,,,,,,,,,,,,,,,,,,,
War Zone Nachmund: Grand Tournament||||No Mercy, No Respite|TO THE LAST|End Game Objective|While our mightiest warriors stand, we will prevail.|If you select this objective, then before the battle, after you have selected deployment zones," identify which three units from your army (excluding those with the Fortifications <a href=""/wh40k9ed/the-rules/core-rules/#Battlefield-Role"">Battlefield Role</a>) have the highest <a href=""/wh40k9ed/the-rules/core-rules/#Points-Values"">points value</a>"," and make a note of them on your <a href=""/wh40k9ed/the-rules/core-rules/#Battle-forged-Army-Roster"">army roster</a> (if two or more are tied", you choose between them). If your army has three or fewer units, you instead identify all the units in your army. A unit's points value includes the points of all weapons, other wargear and upgrades it is has. You score 5 victory points for each of these units that are on the battlefield at the end of the battle. If a unit splits into several smaller units during a battle," all of those separate units (excluding <a href=""/wh40k9ed/factions/t-au-empire/#Drones""><span class=""kwb"">DRONE</span></a> units) must be on the battlefield at the end of the battle to score 5 victory points; if some of those separate units (excluding <span class=""kwb"">DRONE</span> units) are on the battlefield at the end of the battle", but not all of them are, you score 3 victory points instead of 5.|,,,,,,,,,,,,
War Zone Nachmund: Grand Tournament||||No Mercy, No Respite|GRIND THEM DOWN|Progressive Objective|Some battles can only be won through bloody attrition.|Score 3 victory points at the end of the battle round if more enemy units than friendly units were destroyed this battle round.|,,,,,,,,,,,,,,,,,,,,,,,
War Zone Nachmund: Grand Tournament||||No Mercy, No Respite|NO PRISONERS|End Game Objective|Exterminate the enemy. Show them no mercy.|If you select this objective, keep a Kill Points tally. Each time an enemy model is destroyed," unless that model is a <span class=""kwb"">VEHICLE</span>"," <span class=""kwb"">MONSTER</span> or <a href=""/wh40k9ed/the-rules/core-rules/#Characters""><span class=""kwb"">CHARACTER</span></a> unit", add a number of marks to this tally equal to the Wounds characteristic of the destroyed model. A model can, if it is resurrected for any reason (i.e. it was destroyed and subsequently returned to the battlefield), potentially have marks added to this tally several times (assuming it is resurrected and subsequently destroyed several times over).<br><br>At the end of the battle, divide your Kill Points tally by 10 and round down - the result is the number of victory points you score. In addition, if your Kill Points tally is between 50 and 99, you score 1 additional victory point, and if your Kill Points tally is 100 or more, you score 2 additional victory points.|,,,,,,,,,,,,
War Zone Nachmund: Grand Tournament||||Purge the Enemy|TITAN HUNTER|End Game Objective|The foe has committed its largest weapons of war to this battlefield. The larger the foe," the greater the glory.|Score 4 victory points at the end of the battle if one enemy <span class=""kwb"">TITANIC</span> model is destroyed"," 9 victory points if two enemy <span class=""kwb"">TITANIC</span> models are destroyed"," or 15 victory points if three or more enemy <span class=""kwb"">TITANIC</span> models are destroyed.|",,,,,,,,,,,,,,,,,,,,,
"War Zone Nachmund: Grand Tournament||||Purge the Enemy|BRING IT DOWN|End Game Objective|The opposing army contains numerous heavily armoured units. Take any opportunity to bring them down.|Score 1 victory point at the end of the battle for each enemy <span class=""kwb"">MONSTER</span> or <span class=""kwb"">VEHICLE</span> model with a Wounds characteristic of 9 or less that is destroyed"," 2 victory points for each enemy <span class=""kwb"">MONSTER</span> or <span class=""kwb"">VEHICLE</span> model with a Wounds characteristic of between 10-14 that is destroyed"," and 3 victory points for each enemy <span class=""kwb"">MONSTER</span> or <span class=""kwb"">VEHICLE</span> model with a Wounds characteristic of 15 or more that is destroyed.|",,,,,,,,,,,,,,,,,,,,,,
"War Zone Nachmund: Grand Tournament||||Purge the Enemy|ASSASSINATION|End Game Objective|The enemy looks to their champions for courage. Identify and eliminate them with extreme prejudice.|Score 3 victory points at the end of the battle for each enemy <span class=""kwb"">CHARACTER</span> model that is destroyed. If the enemy <a href=""/wh40k9ed/the-rules/core-rules/#The-Warlord""><span class=""kwb"">WARLORD</span></a> was destroyed during the battle", gain 1 additional victory point.|,,,,,,,,,,,,,,,,,,,,,,,
"War Zone Nachmund: Grand Tournament||||Battlefield Supremacy|STRANGLEHOLD|Progressive Objective|Maintain a stranglehold on your foe by dominating key strategic locations in the area.|Score 3 victory points at the end of your turn if you control 3 or more <a href=""/wh40k9ed/the-rules/core-rules/#Objective-Markers"">objective markers</a> and you also control more objective marker than your opponent controls.|",,,,,,,,,,,,,,,,,,,,,,,,
"War Zone Nachmund: Grand Tournament||||Battlefield Supremacy|ENGAGE ON ALL FRONTS|Progressive Objective|No part of the battlefield can be left unchallenged.|Score 2 victory points at the end of your turn if you have one or more qualifying units (see below) from your army <a href=""/wh40k9ed/the-rules/core-rules/#Within-and-Wholly-Within"">wholly within</a> three different table quarters"," and those units are all more than 6"" from the centre of the battlefield. Score 3 victory points instead if you have one or more qualifying units from your army wholly within each table quarter"," and those units are all more than 6"" from the centre of the battlefield. A qualifying unit is one that contains 3 or more models"," or one that contains 1 or more <span class=""kwb"">VEHICLE</span> or <span class=""kwb"">MONSTER</span> models.|",,,,,,,,,,,,,,,,,,,,,
"War Zone Nachmund: Grand Tournament||||Battlefield Supremacy|BEHIND ENEMY LINES|Progressive Objective|Despatch a spearhead to break through the enemy's defences and cut off their routes of escape.|Score 2 victory points at the end of your turn if one unit from your army (excluding <a href=""/wh40k9ed/the-rules/core-rules/#Aircraft""><span class=""kwb"">AIRCRAFT</span></a> units) is wholly within your opponent’s deployment zone. Score 4 victory points at the end of your turn instead if two or more units from your army (excluding <span class=""kwb"">AIRCRAFT</span> units) are wholly within your opponent’s deployment zone.|",,,,,,,,,,,,,,,,,,,,,,,,
War Zone Nachmund: Grand Tournament||||Shadow Operations|DEPLOY TELEPORT HOMERS|Progressive and End Game Objective|If your vanguard forces deploy a series of teleport homers deep within enemy territory in preparation for the fleet's arrival, we will be able to launch a deadly surprise assault.|If you select this objective," then units from your army can perform the following <a href=""/wh40k9ed/the-rules/core-rules/#Actions"">action</a>:<br><br><b>Deploy Teleport Homer (Action):</b> One <span class=""kwb"">INFANTRY</span> or <span class=""kwb"">BIKER</span> unit from your army can start to <a href=""/wh40k9ed/the-rules/core-rules/#Performing-Actions"">perform this action</a> at the end of your <a href=""/wh40k9ed/the-rules/core-rules/#MOVEMENT-PHASE"">Movement phase</a> if it is <a href=""/wh40k9ed/the-rules/core-rules/#Within-and-Wholly-Within"">wholly within</a> 12"" of your opponent’s deployment zone. If the unit attempting this action has the Troops <a href=""/wh40k9ed/the-rules/core-rules/#Battlefield-Role"">battlefield role</a>"," the action is completed at the end of your turn; otherwise the action is completed at the end of your next <a href=""/wh40k9ed/the-rules/core-rules/#COMMAND-PHASE"">Command phase</a>. In either case"," the action is only completed if the unit attempting it is still wholly within 12"" of your opponent’s deployment zone.<br><br>Each time a unit from your army successfully completes this action", you score 2 victory points (you score 4 victory points instead if the unit completed the action while wholly within your opponent’s deployment zone).|,,,,,,,,,,,,,,,,,,,
