roll|name|faction_id|faction_name|legend|type|description|id|,,,,,,,,,,,,
5|THE ABYSS|SM|Space Marines|A shadowy whirlpool opens in the enemy’s midst," snatching away unfortunate warriors as it gathers terrifying momentum.|Umbramancy Discipline|<b>Witchfire:</b> The Abyss has a warp charge value of 6. If <a href=""/wh40k9ed/the-rules/core-rules/#Manifesting-Psychic-Powers"">manifested</a>"," select one enemy unit within 18"" of and visible to this <a href=""/wh40k9ed/the-rules/core-rules/#PSYCHIC-PHASE"">psyker</a>. Roll three D6; for each roll of 4+ that unit suffers 1 <a href=""/wh40k9ed/the-rules/core-rules/#Mortal-Wounds"">mortal wound</a>. If any models in that unit are destroyed as a result of this psychic power", subtract 1 from the Leadership characteristic of models in that unit until the end of this turn.|000003660006|,,,,,,,,,
6|THE DARKNESS WITHIN|SM|Space Marines|The psyker sends his mind forth, calling not to the visible shadows surrounding his enemies but rather to the fears and doubts that shadow their souls. These he draws out as weeping umbral ectoplasm," until only ghost-pale corpses remain.|Umbramancy Discipline|<b>Witchfire:</b> The Darkness Within has a warp charge value of 6. If <a href=""/wh40k9ed/the-rules/core-rules/#Manifesting-Psychic-Powers"">manifested</a>"," select up to three enemy units within 18"" of this <a href=""/wh40k9ed/the-rules/core-rules/#PSYCHIC-PHASE"">psyker</a>. Roll one D6 for each of those units"," adding 1 to the result if the result of the <a href=""/wh40k9ed/the-rules/core-rules/#Psychic-Tests"">Psychic test</a> was more than 10; on a 4+ that unit suffers 1 <a href=""/wh40k9ed/the-rules/core-rules/#Mortal-Wounds"">mortal wound</a>.|000003660007|",,,,,,,,
1|BLESSING OF THE MACHINE GOD|SM|Space Marines|The Librarian reaches out with his mind and binharically amplifies the anger of a nearby machine spirit," driving it to lash out at the enemy with renewed purpose.|Technomancy Discipline|<b>Blessing:</b> Blessing of the Machine God has a warp charge value of 5. If <a href=""/wh40k9ed/the-rules/core-rules/#Manifesting-Psychic-Powers"">manifested</a>"," select one friendly <span class=""tooltip00651"" data-tooltip-content=""#tooltip_content00651"" data-tooltip-anchor=""#tooltip_content00651""><span class=""kwb"">IRON</span> <span class=""kwb"">HANDS</span> <span class=""kwb"">VEHICLE</span></span> model within 12"" of this <a href=""/wh40k9ed/the-rules/core-rules/#PSYCHIC-PHASE"">psyker</a> (you can only select a TITANIC model if the result of the <a href=""/wh40k9ed/the-rules/core-rules/#Psychic-Tests"">Psychic test</a> to manifest this power was 8 or more). Until the start of your next <a href=""/wh40k9ed/the-rules/core-rules/#PSYCHIC-PHASE"">Psychic phase</a>", when resolving an attack made by that model," add 1 to the <a href=""/wh40k9ed/the-rules/core-rules/#1.-Hit-Roll"">hit roll</a>.|000003673002|",,,,,,,,
2|OBJURATION MECHANICUM|SM|Space Marines|Extending their hand, the Librarian compels the enemy’s equipment to betray them. Grenades spontaneously detonate, weapons backfire," and power cells overheat in a deadly fashion.|Technomancy Discipline|<b>Malediction:</b> Objuration Mechanicum has a warp charge value of 7. If <a href=""/wh40k9ed/the-rules/core-rules/#Manifesting-Psychic-Powers"">manifested</a>"," select one enemy unit within 18"" of and visible to this <a href=""/wh40k9ed/the-rules/core-rules/#PSYCHIC-PHASE"">psyker</a>. Until the start of your next <a href=""/wh40k9ed/the-rules/core-rules/#PSYCHIC-PHASE"">Psychic phase</a>", when resolving an attack made with a ranged weapon by a model in that unit," on an unmodified <a href=""/wh40k9ed/the-rules/core-rules/#1.-Hit-Roll"">hit roll</a> of 1 that unit suffers 1 <a href=""/wh40k9ed/the-rules/core-rules/#Mortal-Wounds"">mortal wound</a> after resolving that attack.|000003673003|",,,,,,
3|FURY OF MEDUSA|SM|Space Marines|The psyker channels the might of Medusa’s furious electrical storms," unleashing a leaping psychic gheist that surges through the enemy.|Technomancy Discipline|<b>Witchfire:</b> Fury of Medusa has a warp charge value of 6. If <a href=""/wh40k9ed/the-rules/core-rules/#Manifesting-Psychic-Powers"">manifested</a>"," select one enemy model within 18"" of and visible to this <a href=""/wh40k9ed/the-rules/core-rules/#PSYCHIC-PHASE"">psyker</a>. Draw the shortest possible imaginary straight line", 1mm wide, between this psyker’s base and that model’s base. Roll one D6 for the selected model’s unit and each other enemy unit that this line passes across," adding 2 to the result if the unit being rolled for is a <span class=""kwb"">VEHICLE</span>. On a 4-5 the unit being rolled for suffers 1 <a href=""/wh40k9ed/the-rules/core-rules/#Mortal-Wounds"">mortal wound</a>; on a 6+ the unit being rolled for suffers D3 mortal wounds.|000003673004|",,,,,,,
4|PSYSTEEL ARMOUR|SM|Space Marines|At the Librarian’s command, warp energy flows in streamers from thin air and winds itself around his allies, glowing like forge-hot steel. The flowing psysteel coats the armour of nearby tanks or Dreadnoughts," or else wraps fellow warriors in a second skin capable of turning aside bullet and blade alike.|Technomancy Discipline|<b>Blessing:</b> Psysteel Armour has a warp charge value of 6. If <a href=""/wh40k9ed/the-rules/core-rules/#Manifesting-Psychic-Powers"">manifested</a>"," select one friendly <span class=""kwb"">IRON</span> <span class=""kwb"">HANDS</span> unit within 12"" of this <a href=""/wh40k9ed/the-rules/core-rules/#PSYCHIC-PHASE"">psyker</a>. Until the start of your next <a href=""/wh40k9ed/the-rules/core-rules/#PSYCHIC-PHASE"">Psychic phase</a>", when resolving an attack made against that unit," add 1 to the <a href=""/wh40k9ed/the-rules/core-rules/#4.-Saving-Throw"">saving throw</a>. <a href=""/wh40k9ed/the-rules/core-rules/#Invulnerable-Saves"">Invulnerable saves</a> are not affected.|000003673005|",,,,,,
5|REFORGE|SM|Space Marines|Pressing his hand against rent vehicle armour, the psyker chants binharic incantations that urge the machine to repair itself. Wiring reknits," damaged energy cells are sealed and buckled armour flattens and reforms.|Technomancy Discipline|<b>Blessing:</b> Reforge has a warp charge value of 5. If <a href=""/wh40k9ed/the-rules/core-rules/#Manifesting-Psychic-Powers"">manifested</a>"," select one friendly <span class=""tooltip00651"" data-tooltip-content=""#tooltip_content00651"" data-tooltip-anchor=""#tooltip_content00651""><span class=""kwb"">IRON</span> <span class=""kwb"">HANDS</span> <span class=""kwb"">VEHICLE</span></span> model within 3"" of and visible to that <a href=""/wh40k9ed/the-rules/core-rules/#PSYCHIC-PHASE"">psyker</a> (you cannot select a model that has already regained lost wounds this turn). That model regains up to D3 lost wounds.|000003673006|",,,,,,,,,
"6|MACHINE FLENSE|SM|Space Marines|The psyker lashes out with his mind at an enemy war machine to shred its armoured hull. The strips of razor-edged shrapnel torn from the vehicle’s iron flesh are hurled like daggers at a nearby foe.|Technomancy Discipline|<b>Witchfire:</b> Machine Flense has a warp charge value of 6. If <a href=""/wh40k9ed/the-rules/core-rules/#Manifesting-Psychic-Powers"">manifested</a>"," select one enemy <span class=""kwb"">VEHICLE</span> unit that is within 18"" of and visible to this <a href=""/wh40k9ed/the-rules/core-rules/#PSYCHIC-PHASE"">psyker</a>. That unit suffers D3 <a href=""/wh40k9ed/the-rules/core-rules/#Mortal-Wounds"">mortal wounds</a>. You can then select one other enemy unit that was within 6"" of and visible to that <span class=""kwb"">VEHICLE</span> unit when this power was manifested. Roll one D6 for each mortal wound that <span class=""kwb"">VEHICLE</span> unit suffered; for each 3+ the other selected unit suffers 1 mortal wound.|000003673007|",,,,,,,,,,,
1|TECTONIC PURGE (AURA)|SM|Space Marines|The Librarian interlocks his fingers, raises his hands high and brings them down in a clubbing blow upon the ground. Psychic energies pour from the impact site," causing the ground to convulse and shudder violently and enemies to be flung from their feet.|Geokinesis Discipline|<b>Blessing:</b> Tectonic Purge has a warp charge value of 6. If <a href=""/wh40k9ed/the-rules/core-rules/#Manifesting-Psychic-Powers"">manifested</a>"," then until the start of your next <a href=""/wh40k9ed/the-rules/core-rules/#PSYCHIC-PHASE"">Psychic phase</a>"," when a <a href=""/wh40k9ed/the-rules/core-rules/#Charging-with-a-Unit"">charge roll</a> is made for an enemy unit within 12"" of this psyker", subtract 2 from the result.|000003694002|,,,,,,,
2|WRACK AND RUIN|SM|Space Marines|Reaching out with his mind, the Librarian senses every fault, hairline crack and structural weakness in an enemy fortification," then builds empyric resonance within them until the stronghold shakes itself violently apart.|Geokinesis Discipline|<b>Witchfire:</b> Wrack and Ruin has a warp charge value of 6. If <a href=""/wh40k9ed/the-rules/core-rules/#Manifesting-Psychic-Powers"">manifested</a>"," select one <span class=""kwb"">BUILDING</span> unit"," or one enemy unit that is wholly on or within an <a href=""/wh40k9ed/the-rules/core-rules/#Area-Terrain"">Area Terrain</a> feature and is within 18"" of and visible to this <span class=""kwb"">PSYKER</span>. Roll nine D6"," adding 1 to the result if the unit you selected was a <span class=""kwb"">BUILDING</span>; for each roll of 5+ that unit suffers 1 <a href=""/wh40k9ed/the-rules/core-rules/#Mortal-Wounds"">mortal wound</a>.|000003694003|",,,,,,
3|IRON INFERNO|SM|Space Marines|The Librarian sends his mind questing outward to locate seams of metal, the iron spars of girders and foundations, and any other metallic deposit he can sense. Then, with a furious mental blast," he superheats them all to trigger a devastating pyrometallic eruption.|Geokinesis Discipline|<b>Witchfire:</b> Iron Inferno has a warp charge value of 6. If <a href=""/wh40k9ed/the-rules/core-rules/#Manifesting-Psychic-Powers"">manifested</a>"," select one point on the battlefield within 18"" of and visible to this psyker. Roll one D6 for each enemy unit within 6"" of that point; on a 4+ that unit suffers 1 <a href=""/wh40k9ed/the-rules/core-rules/#Mortal-Wounds"">mortal wound</a>.|000003694004|",,,,,,,
4|FORTIFY|SM|Space Marines|The Librarian envisions a mighty citadel, ravaged by battle but under swift repair. As he does so he lets his powers wash out across his battle-brothers," compelling their flesh to knit and their bones to set just as the mental fortress is restored to its original magnificence.|Geokinesis Discipline|<b>Blessing:</b> Fortify has a warp charge value of 4. If <a href=""/wh40k9ed/the-rules/core-rules/#Manifesting-Psychic-Powers"">manifested</a>"," select one friendly <span class=""tooltip01861"" data-tooltip-content=""#tooltip_content01861"" data-tooltip-anchor=""#tooltip_content01861""><span class=""kwb"">IMPERIAL</span> <span class=""kwb"">FISTS</span> <span class=""kwb"">INFANTRY</span></span> or <span class=""tooltip02016"" data-tooltip-content=""#tooltip_content02016"" data-tooltip-anchor=""#tooltip_content02016""><span class=""kwb"">IMPERIAL</span> <span class=""kwb"">FISTS</span> <span class=""kwb"">BIKER</span></span> model within 12"" of the psyker; that model regains up to D3 lost wounds.|000003694005|",,,,,,,,,
5|ASPECT OF STONE|SM|Space Marines|Thrumming geokinetic energies wreath the Librarian’s fists. Iron strengthens his sinews while his flesh becomes unyielding as ferrocrete – in such a state," he becomes all but unstoppable.|Geokinesis Discipline|<b>Blessing:</b> Aspect of Stone has a warp charge value of 5. If <a href=""/wh40k9ed/the-rules/core-rules/#Manifesting-Psychic-Powers"">manifested</a>"," then until the start of your next <a href=""/wh40k9ed/the-rules/core-rules/#PSYCHIC-PHASE"">Psychic phase</a>", add 2 to this psyker’s Strength and Toughness characteristics.|000003694006|,,,,,,,,,
6|CHASM|SM|Space Marines|The psyker slams his palms together, and then pulls them slowly apart. As he does," a wide chasm opens beneath the feet of his enemy and they plunge screaming to their doom in the darkness below.|Geokinesis Discipline|<b>Witchfire:</b> Chasm has a warp charge value of 6. If <a href=""/wh40k9ed/the-rules/core-rules/#Manifesting-Psychic-Powers"">manifested</a>"," select one enemy unit that cannot <a href=""/wh40k9ed/the-rules/core-rules/#Flying"">FLY</a> and is within 18"" of and visible to this psyker. Roll 2D6: if the result is less than the lowest Move characteristic in that unit it suffers 1 <a href=""/wh40k9ed/the-rules/core-rules/#Mortal-Wounds"">mortal wound</a>; if the result equals the lowest Move characteristic in that unit it suffers D3 mortal wounds; if the result is greater than the lowest Move characteristic in that unit it suffers 3 mortal wounds.|000003694007|",,,,,,,,,
"1|FLAMING BLAST|SM|Space Marines|The Librarian condenses the roiling energy of the warp into a great ball of raging fire before casting it at the foe.|Promethean Discipline|<b>Witchfire:</b> Flaming Blast has a warp charge value of 6. If <a href=""/wh40k9ed/the-rules/core-rules/#Manifesting-Psychic-Powers"">manifested</a>"," select one point on the battlefield within 24"" of and visible to this psyker. Roll one D6 for each enemy unit within 3"" of that point; on a 4+ that unit suffers 1 <a href=""/wh40k9ed/the-rules/core-rules/#Mortal-Wounds"">mortal wound</a>.|000003700002|",,,,,,,,,,,
2|FIRE SHIELD|SM|Space Marines|Extending his hand, a great sheet of flame bursts from the Librarian’s palm. With a sweep of his arms," he creates a towering wall of flame to protect his battle-brothers.|Promethean Discipline|<b>Blessing:</b> Fire Shield has a warp charge value of 6. If <a href=""/wh40k9ed/the-rules/core-rules/#Manifesting-Psychic-Powers"">manifested</a>"," select one friendly <span class=""kwb"">SALAMANDERS</span> unit within 18"" of this psyker. Until the start of your next <a href=""/wh40k9ed/the-rules/core-rules/#PSYCHIC-PHASE"">Psychic phase</a>", when resolving an attack made with a ranged weapon against that unit," subtract 1 from the <a href=""/wh40k9ed/the-rules/core-rules/#1.-Hit-Roll"">hit roll</a>. In addition"," when a <a href=""/wh40k9ed/the-rules/core-rules/#Charging-with-a-Unit"">charge roll</a> is made for a charge that unit is a target of", subtract 1 from the result.|000003700003|,,,,,
"3|BURNING HANDS|SM|Space Marines|The Librarian’s gauntlets glow bright before bursting into flames. Each strike from these armoured fists blasts the unfortunate victim into ashes.|Promethean Discipline|<b>Blessing:</b> Burning Hands has a <a href=""/wh40k9ed/the-rules/core-rules/#Psychic-Tests"">warp charge</a> value of 6. If <a href=""/wh40k9ed/the-rules/core-rules/#Manifesting-Psychic-Powers"">manifested</a>"," then until the start of your next <a href=""/wh40k9ed/the-rules/core-rules/#PSYCHIC-PHASE"">Psychic phase</a>"," each time this <span class=""kwb"">PSYKER</span> makes a melee attack"," you can select for it to use the <a href=""/wh40k9ed/the-rules/core-rules/#Select-Weapon"">close combat weapon</a> profile instead of a melee weapon it is equipped with. Each time this <span class=""kwb"">PSYKER</span> makes an attack with the close combat weapon profile", if a hit is scored," the target suffers 1 <a href=""/wh40k9ed/the-rules/core-rules/#Mortal-Wounds"">mortal wound</a> and the attack sequence ends.|000003700004|",,,,,,,
4|DRAKESKIN|SM|Space Marines|The Librarian summons a shimmering layer of translucent scales around his allies," harder even than the impervious hides of the great drakes of Nocturne.|Promethean Discipline|<b>Blessing:</b> Drakeskin has a warp charge value of 6. If <a href=""/wh40k9ed/the-rules/core-rules/#Manifesting-Psychic-Powers"">manifested</a>"," select one friendly <span class=""kwb"">SALAMANDERS</span> unit within 12"" of this psyker. Until the start of your next <a href=""/wh40k9ed/the-rules/core-rules/#PSYCHIC-PHASE"">Psychic phase</a>", add 1 to the Toughness characteristic of models in that unit.|000003700005|,,,,,,,,,
5|FURY OF NOCTURNE|SM|Space Marines|The Librarian channels his powers into the ground around him to create a microcosm of Nocturne around his foes. The earth darkens and begins to split," before towering flames and boiling magma spew forth to burn the enemies of the Salamanders to cinders.|Promethean Discipline|<b>Witchfire:</b> Fury of Nocturne has a warp charge value of 6. If <a href=""/wh40k9ed/the-rules/core-rules/#Manifesting-Psychic-Powers"">manifested</a>"," select one enemy unit within 18"" of and visible to this psyker. Roll 2D6; if the result is greater than the highest Toughness characteristic of models in that unit"," that unit suffers D3 <a href=""/wh40k9ed/the-rules/core-rules/#Mortal-Wounds"">mortal wounds</a>.|000003700006|",,,,,,,,,
6|DRACONIC ASPECT|SM|Space Marines|Summoning the wrath of the indigenous creatures of Nocturne, the Librarian takes on the appearance of a great fire-breathing drake. With burning eyes and flame streaming from his nostrils," the Salamander sends his enemies fleeing in panic.|Promethean Discipline|<b>Blessing:</b> Draconic Aspect has a warp charge value of 6. If <a href=""/wh40k9ed/the-rules/core-rules/#Manifesting-Psychic-Powers"">manifested</a>"," then until the start of your next <a href=""/wh40k9ed/the-rules/core-rules/#PSYCHIC-PHASE"">Psychic phase</a>"," subtract 2 from the Leadership characteristic of models in enemy units whilst their unit is within 12"" of this psyker.|000003700007|",,,,,,,,
1|TWILIGHT PATHWAYS|AE|Aeldari|Eerie half-lit tunnels blink into existence," opening new paths of manoeuvre and attack.|Psychic Disciplines|<b>Blessing:</b> <i>Twilight Pathways</i> has a <a href=""/wh40k9ed/the-rules/core-rules/#Psychic-Tests"">warp charge</a> value of 6. If <a href=""/wh40k9ed/the-rules/core-rules/#Manifesting-Psychic-Powers"">manifested</a>"," select one friendly <span class=""tooltip02017"" data-tooltip-content=""#tooltip_content02017"" data-tooltip-anchor=""#tooltip_content02017""><span class=""kwb2"">&lt;<span class=""kwb3"">S</span>AEDATH&gt;</span> <span class=""kwb"">CORE</span></span> or <span class=""tooltip02018"" data-tooltip-content=""#tooltip_content02018"" data-tooltip-anchor=""#tooltip_content02018""><span class=""kwb2"">&lt;<span class=""kwb3"">S</span>AEDATH&gt;</span> <span class=""kwb"">CHARACTER</span></span> unit within 6"" of this <span class=""kwb"">PSYKER</span>. That unit can immediately make a <a href=""/wh40k9ed/the-rules/core-rules/#Normal-Move"">normal Move</a>"," <a href=""/wh40k9ed/the-rules/core-rules/#Advance"">Advance</a> or <a href=""/wh40k9ed/the-rules/core-rules/#Fall-Back"">Fall Back</a> as if it were your <a href=""/wh40k9ed/the-rules/core-rules/#MOVEMENT-PHASE"">Movement phase</a>. If it does so"," that unit is not eligible to <a href=""/wh40k9ed/the-rules/core-rules/#Charging-with-a-Unit"">declare a charge</a> this turn.|000006717002|",,,,,,,,
2|FOG OF DREAMS|AE|Aeldari|The Shadowseer sends forth their consciousness like a creeping mist," baffling the senses of the enemy.|Psychic Disciplines|<b>Blessing:</b> <i>Fog of Dreams</i> has a <a href=""/wh40k9ed/the-rules/core-rules/#Psychic-Tests"">warp charge</a> value of 6. If <a href=""/wh40k9ed/the-rules/core-rules/#Manifesting-Psychic-Powers"">manifested</a>"," select one friendly <span class=""tooltip02017"" data-tooltip-content=""#tooltip_content02017"" data-tooltip-anchor=""#tooltip_content02017""><span class=""kwb2"">&lt;<span class=""kwb3"">S</span>AEDATH&gt;</span> <span class=""kwb"">CORE</span></span> or <span class=""tooltip02018"" data-tooltip-content=""#tooltip_content02018"" data-tooltip-anchor=""#tooltip_content02018""><span class=""kwb2"">&lt;<span class=""kwb3"">S</span>AEDATH&gt;</span> <span class=""kwb"">CHARACTER</span></span> unit within 12"" of this <span class=""kwb"">PSYKER</span>. Until the start of your next <a href=""/wh40k9ed/the-rules/core-rules/#PSYCHIC-PHASE"">Psychic phase</a>"," that unit can only be selected as the target of a ranged attack if it is the closest eligible target for that attack or is within 12"" of the shooting model.|000006717003|",,,,,,,,,
"3|MIRROR OF MINDS|AE|Aeldari|A maddening clash of wills consumes the victim's mind as reality falls away.|Psychic Disciplines|<b>Witchfire:</b> <i>Mirror of Minds</i> has a <a href=""/wh40k9ed/the-rules/core-rules/#Psychic-Tests"">warp charge</a> value of 7. If <a href=""/wh40k9ed/the-rules/core-rules/#Manifesting-Psychic-Powers"">manifested</a>"," select one enemy unit within 18"" of this <span class=""kwb"">PSYKER</span>. That enemy unit suffers D3 <a href=""/wh40k9ed/the-rules/core-rules/#Mortal-Wounds"">mortal wounds</a>"," then <a href=""/wh40k9ed/the-rules/core-rules/#Roll-offs"">roll off</a> with your opponent. If you win or draw that roll off", that enemy unit suffers 1 mortal wound. Repeat this roll off process until either that enemy unit has suffered 6 mortal wounds, that enemy unit is destroyed, or your opponent wins the roll off.|000006717004|,,,,,,,
