faction_id|faction_name|type|roll|name|legend|description|,,,,,,,,,,,,,
"SM|Space Marines|Imperial Fists Warlord Traits|1|SIEGE MASTER|There are few who have a deeper understanding of the tenets of siege warfare than this son of Dorn.|When resolving an attack made by this <span class=""kwb"">WARLORD</span> against a <span class=""kwb"">BUILDING</span> or <span class=""kwb"">VEHICLE</span> unit"," add 1 to the <a href=""/wh40k9ed/the-rules/core-rules/#2.-Wound-Roll"">wound roll</a>.|",,,,,,,,,,,,
"SM|Space Marines|Imperial Fists Warlord Traits|2|INDOMITABLE|This Imperial Fist refuses to yield whilst foes remain before him.|When resolving an attack made against this <span class=""kwb"">WARLORD</span>"," an unmodified <a href=""/wh40k9ed/the-rules/core-rules/#2.-Wound-Roll"">wound roll</a> of 1-3 always fail", irrespective of any abilities that the weapon or the model making that attack may have.|,,,,,,,,,,,
SM|Space Marines|Imperial Fists Warlord Traits|3|FLEETMASTER|Orbital firepower is often called upon by this leader.|Once per battle," at the end of your <a href=""/wh40k9ed/the-rules/core-rules/#FIGHT-PHASE"">Fight phase</a>"," if this <span class=""kwb"">WARLORD</span> remained stationary and did not make any attacks this turn it can call down an orbital strike. If it does"," select one point on the battlefield and roll one D6 for each unit within D6"" of that point"," subtracting 1 from the result if the unit being rolled for is a <a href=""/wh40k9ed/the-rules/core-rules/#Characters""><span class=""kwb"">CHARACTER</span></a>. On a 4+ the unit being rolled for suffers D3 <a href=""/wh40k9ed/the-rules/core-rules/#Mortal-Wounds"">mortal wounds</a>.|",,,,,,,,,
SM|Space Marines|Imperial Fists Warlord Traits|4|STUBBORN HEROISM|Unyielding are the Imperial Fists," refusing to relent and exacting the bloody price of victory from their foes even when retreat might prove more prudent.|This <span class=""kwb"">WARLORD</span> cannot <a href=""/wh40k9ed/the-rules/core-rules/#Fall-Back"">Fall Back</a>. When resolving an attack against this <span class=""kwb"">WARLORD</span>", halve any damage inflicted (rounding up).|,,,,,,,,,,,
"SM|Space Marines|Imperial Fists Warlord Traits|5|ARCHITECT OF WAR (AURA)|Imperial Fist leaders have a gift for bolstering defensive positions.|While a friendly <span class=""tooltip00654"" data-tooltip-content=""#tooltip_content00654"" data-tooltip-anchor=""#tooltip_content00654""><span class=""kwb"">IMPERIAL</span> <span class=""kwb"">FISTS</span> <span class=""kwb"">CORE</span></span> unit that is receiving the <a href=""/wh40k9ed/the-rules/core-rules/#Terrain-and-Cover"">benefits of cover</a> is within 6"" of this <span class=""kwb"">WARLORD</span>", each time an attack with an Armour Penetration characteristic of -1 is allocated to a model in that unit, that attack has an Armour Penetration characteristic of 0 instead.|,,,,,,,,,,,
SM|Space Marines|Imperial Fists Warlord Traits|6|HAND OF DORN|This champion of the Chapter is a true inheritor of the tactical acumen of his Primarch.|Before the battle," if your army is <a href=""/wh40k9ed/the-rules/core-rules/#BATTLE-FORGED-ARMIES"">Battle-forged</a>"," roll one D3; you gain a number of <a href=""/wh40k9ed/the-rules/core-rules/#Command-Points"">Command Points</a> equal to the result.|",,,,,,,,,,,
SM|Space Marines|Imperial Fists Warlord Traits|1-2|REFUSE TO DIE|Like the Chapter itself," this Crimson Fists champion defies death against all odds.|The first time this <span class=""kwb"">WARLORD</span> it destroyed"," you can choose to roll one D6 at the end of the phase instead of using any rules that are triggered when a model is destroyed (e.g. the <a href=""/wh40k9ed/factions/space-marines/#Stratagems"">Only in Death Does Duty End</a> Stratagem) If you do", then on a 4+," set this <span class=""kwb"">WARLORD</span> back up on the battlefield as close as possible to where they were destroyed and more than 1"" away from any enemy models", with D3 wounds remaining.|,,,,,,,,
"SM|Space Marines|Imperial Fists Warlord Traits|3-4|TENACIOUS OPPONENT|This champion fights all the harder when he is outnumbered by his foes.|When you choose this <span class=""kwb"">WARLORD</span> to fight with"," if there are at least five enemy models within 6"" of them"," add D3 to this <span class=""kwb"">WARLORD</span>’s Attacks characteristic until the end of the phase.|",,,,,,,,,,,
"SM|Space Marines|Imperial Fists Warlord Traits|5-6|STOIC DEFENDER (AURA)|This leader and his warriors hold their ground no matter the odds.|While a friendly <span class=""tooltip00906"" data-tooltip-content=""#tooltip_content00906"" data-tooltip-anchor=""#tooltip_content00906""><span class=""kwb"">CRIMSON</span> <span class=""kwb"">FISTS</span> <span class=""kwb"">CORE</span></span> or <span class=""tooltip00907"" data-tooltip-content=""#tooltip_content00907"" data-tooltip-anchor=""#tooltip_content00907""><span class=""kwb"">CRIMSON</span> <span class=""kwb"">FISTS</span> <span class=""kwb"">CHARACTER</span></span> unit is within 6"" of this <span class=""kwb"">WARLORD</span>"," that unit has the <a href=""/wh40k9ed/the-rules/core-rules/#Objective-Secured"">Objective Secured</a> ability. If a unit already has this ability"," each model in that unit counts as one additional model for the purposes of determining control of <a href=""/wh40k9ed/the-rules/core-rules/#Objective-Markers"">objective markers</a>.|",,,,,,,,,,,
"AE|Aeldari|Warlord Traits|3|A FOOT IN THE FUTURE|This warlord flows like starlight across the field of battle.|<ul><li>Each time this <span class=""kwb"">WARLORD</span> Advances"," do not make an <a href=""/wh40k9ed/the-rules/core-rules/#Advance"">Advance roll</a>. Instead", until the end of the phase," add D3+3"" to the Move characteristic of this <span class=""kwb"">WARLORD</span>.</li><li>Each time you make a <a href=""/wh40k9ed/the-rules/core-rules/#Charging-with-a-Unit"">charge roll</a> for this <span class=""kwb"">WARLORD</span>", you can add 6 to the result.</li></ul>|,,,,,,,,,
AE|Aeldari|Warlord Traits|2|FRACTAL STORM|In the cut and thrust of battle," this warlord performs rapid movements that maximise the effect of their holo-suit to better evade their enemy's blows.|Each time an attack is made against this <span class=""kwb"">WARLORD</span>"," your opponent cannot re-roll the <a href=""/wh40k9ed/the-rules/core-rules/#1.-Hit-Roll"">hit roll</a>"," the <a href=""/wh40k9ed/the-rules/core-rules/#2.-Wound-Roll"">wound roll</a> or the damage roll for that attack.|",,,,,,,,,,
AE|Aeldari|Warlord Traits|1|FAVOUR OF CEGORACH|To be possessed of supernatural fortune is a sure sign of Cegorach’s favour.|Once per turn," when you make a <a href=""/wh40k9ed/the-rules/core-rules/#1.-Hit-Roll"">hit roll</a>"," <a href=""/wh40k9ed/the-rules/core-rules/#2.-Wound-Roll"">wound roll</a> or <a href=""/wh40k9ed/the-rules/core-rules/#4.-Saving-Throw"">saving throw</a> for this <span class=""kwb"">WARLORD</span>", after making the roll, you can treat the result as an unmodified roll of 6 instead.|,,,,,,,,,
AE|Aeldari|Warlord Traits||FATE READER|Using their prescience to discern the enemy commander’s intentions," this warlord can react before the foe’s plans even come into action.|After you make a <span class=""tooltip00767"" data-tooltip-content=""#tooltip_content00767""><span class=""tt kwbu"">Strands</span> <span class=""tt kwbu"">of</span> <span class=""tt kwbu"">Fate</span></span> roll"," if this <span class=""kwb"">WARLORD</span> is on the battlefield", you can choose to retain one additional dice.|,,,,,,,,,,
AE|Aeldari|Warlord Traits||MASTER OF AMBUSH|This warlord is adept at directing the activities of nearby warriors," allowing some of their number to accomplish complex tasks while their fellows provide covering fire.|<ul><li>In your <a href=""/wh40k9ed/the-rules/core-rules/#COMMAND-PHASE"">Command phase</a>"," you can select one <span class=""tooltip01987"" data-tooltip-content=""#tooltip_content01987"" data-tooltip-anchor=""#tooltip_content01987""><span class=""kwb"">ALAITOC</span> <span class=""kwb"">INFANTRY</span> <span class=""kwb"">CORE</span></span> unit within 9"" of this <a href=""/wh40k9ed/the-rules/core-rules/#The-Warlord""><span class=""kwb"">WARLORD</span></a>. Until the end of the turn"," if that unit is <a href=""/wh40k9ed/the-rules/core-rules/#Performing-Actions"">performing an action</a>", it can still make attacks with ranged weapons without that action failing.</li><li>At the start of the first battle round, before the first turn begins," if this <span class=""kwb"">WARLORD</span> is on the battlefield"," you can select one other friendly <span class=""tooltip01391"" data-tooltip-content=""#tooltip_content01391"" data-tooltip-anchor=""#tooltip_content01391""><span class=""kwb"">ALAITOC</span> <span class=""kwb"">RANGERS</span></span> unit on the battlefield. Remove that unit from the battlefield"," and set it up anywhere on the battlefield that is more than 9"" away from the enemy deployment zone and any enemy models (if both players have abilities that redeploy units before the first turn begins"," <a href=""/wh40k9ed/the-rules/core-rules/#Roll-offs"">roll off</a>; the winner chooses who redeploys their units first).</li></ul>|",,,,
"AE|Aeldari|Warlord Traits||NATURAL LEADER|Tactical acumen and the use of targeting matrices are second nature to this battle-seasoned warlord.|In your <a href=""/wh40k9ed/the-rules/core-rules/#COMMAND-PHASE"">Command phase</a>"," you can select one friendly <span class=""tooltip01988"" data-tooltip-content=""#tooltip_content01988"" data-tooltip-anchor=""#tooltip_content01988""><span class=""kwb"">BIEL-TAN</span> <span class=""kwb"">CORE</span></span> unit within 6"" of this <span class=""kwb"">WARLORD</span>. Until the end of the turn", each time a model in that unit makes an attack," you can re-roll the <a href=""/wh40k9ed/the-rules/core-rules/#1.-Hit-Roll"">hit roll</a>.|",,,,,,,,,,
AE|Aeldari|Warlord Traits||ENDURING RESOLVE|Resolute in mind and body, this warlord’s willpower is second to none," and serves them well on the battlefield.|Each time this <span class=""kwb"">WARLORD</span> would lose a wound", roll one D6: on a 5+, that wound is not lost.|,,,,,,,,,
AE|Aeldari|Warlord Traits||WILD RIDER CHIEFTAIN|To the bravest goes the glory," as they say aboard Saim-Hann.|<ul><li>Add 1 to this <span class=""kwb"">WARLORD</span>’s Attacks characteristic.</li><li>This <span class=""kwb"">WARLORD</span> is eligible to <a href=""/wh40k9ed/the-rules/core-rules/#Performing-a-Heroic-Intervention"">perform a Heroic Intervention</a> if it is within 6"" horizontally and 5"" vertically of any enemy unit"," instead of 3"" horizontally and 5"" vertically. Each time this <span class=""kwb"">WARLORD</span> makes a Heroic Intervention move"," it can move up to 6"" instead of 3"". All other rules for <a href=""/wh40k9ed/the-rules/core-rules/#2.-Heroic-Interventions"">Heroic Interventions</a> still apply.</li></ul>|",,,,,,,,,,
"AE|Aeldari|Warlord Traits||WARDEN OF SOULS|This warrior of the Reborn is the keeper of many souls; their mastery over deathly energy is unparalleled.|<ul><li>At the start of your <a href=""/wh40k9ed/the-rules/core-rules/#COMMAND-PHASE"">Command phase</a>"," this <span class=""kwb"">WARLORD</span> regains 1 lost wound.</li><li>When this <span class=""kwb"">WARLORD</span> is selected to fight"," if any enemy units within <a href=""/wh40k9ed/the-rules/core-rules/#Engagement-Range"">Engagement Range</a> of this <span class=""kwb"">WARLORD</span> are below <a href=""/wh40k9ed/the-rules/core-rules/#Starting-Strength-Half-strength-and-Destroyed-Units"">Starting Strength</a>", until the end of the phase," add 1 to this <span class=""kwb"">WARLORD</span>’s Strength and Attacks characteristics.</li></ul>|",,,,,,,,,
AS|Adepta Sororitas|Codex Supplement: Order of the Bloody Rose|1|FIERY EXAMPLE|This warlord leads by example, plunging into the foe without hesitation," seeking out the most execrable of heretics and laying them low in the name of the God-Emperor.|<ul><li>Each time this <span class=""kwb"">WARLORD</span> makes a melee attack against a <a href=""/wh40k9ed/the-rules/core-rules/#Characters""><span class=""kwb"">CHARACTER</span></a> unit"," add 1 to that attack’s <a href=""/wh40k9ed/the-rules/core-rules/#2.-Wound-Roll"">wound roll</a>.</li><li>Each time this <span class=""kwb"">WARLORD</span> destroys an enemy <span class=""kwb"">CHARACTER</span> unit"," you gain 2 <span class=""tooltip00615"" data-tooltip-content=""#tooltip_content00615""><span class=""tt kwbu"">Miracle</span> <span class=""tt kwbu"">dice</span></span>.</li></ul>|",,,,,,,,,
AS|Adepta Sororitas|Codex Supplement: Order of the Bloody Rose|2|INCANDESCENT REPRISAL|Even the mightiest strike cannot stay the inflamed passions of this warlord. Many a would-be impious executioner has struck what they believed a killing blow," only to be cut down in their turn.|<ul><li>Each time this <span class=""kwb"">WARLORD</span> would lose a wound", roll one D6: on a 5+, that wound is not lost.</li><li>Once per phase, after an enemy unit shoots or fights," if this <span class=""kwb"">WARLORD</span> suffered any wounds as a result of those attacks:<br><ul><li>If this <span class=""kwb"">WARLORD</span> is not within <a href=""/wh40k9ed/the-rules/core-rules/#Engagement-Range"">Engagement Range</a> of any enemy units"," this <span class=""kwb"">WARLORD</span> can shoot with one ranged weapon it is equipped with. It can only target that enemy unit when doing so"," and only if that enemy unit is an eligible target.</li><li>If this <span class=""kwb"">WARLORD</span> is within Engagement Range of any enemy units and has not already been selected to fight during this phase", it can immediately be selected to fight. It can only target that enemy unit when doing so, and only if that enemy unit is an eligible target.</li></ul></li></ul>|,,,,
AS|Adepta Sororitas|Codex Supplement: Order of the Bloody Rose|3|RED-HANDED CASTIGATOR|As this zealous commander cuts down the foe, their bellowed prayers echo across the tumult of battle," fuelling the holy rage and devout determination of their fellow Sisters.|<ul><li>Each time you gain a <span class=""tooltip00615"" data-tooltip-content=""#tooltip_content00615""><span class=""tt kwbu"">Miracle</span> <span class=""tt kwbu"">dice</span></span> at the end of a phase as a result of the Vengeance ability"," if this <span class=""kwb"">WARLORD</span> destroyed any enemy units during that phase"," that Miracle dice is automatically a 6.</li><li>Each time this <span class=""kwb"">WARLORD</span> makes a melee attack"," if this <span class=""kwb"">WARLORD</span> made a <a href=""/wh40k9ed/the-rules/core-rules/#Charging-with-a-Unit"">charge move</a>"," was charged or <a href=""/wh40k9ed/the-rules/core-rules/#Performing-a-Heroic-Intervention"">performed a Heroic Intervention</a> this turn"," you can re-roll that attack’s <a href=""/wh40k9ed/the-rules/core-rules/#1.-Hit-Roll"">hit roll</a>.</li></ul>|",,,,,,
CSM|Chaos Space Marines|Word Bearers|1|THE VOICE OF LORGAR|This warlord speaks with the authority of his Primarch; when he commands," others follow without question or hesitation.|<ul><li>Add 3"" to the range of this <span class=""kwb"">WARLORD</span>’s <a href=""/wh40k9ed/the-rules/core-rules/#Aura-Abilities"">aura abilities</a> (excluding aura abilities that are psychic powers).</li><li>Each time this <span class=""kwb"">WARLORD</span> chants a prayer or uses an ability in your <a href=""/wh40k9ed/the-rules/core-rules/#COMMAND-PHASE"">Command phase</a> that specifies a range", until the end of the phase," you can add 3"" to the range of that prayer or ability.</li></ul>|",,,,,,,,,,
CSM|Chaos Space Marines|Word Bearers|2|EXALTED POSSESSION|This warlord shares his flesh with a particularly powerful daemon. Physically stronger and faster than mere mortals," he venerates the Chaos pantheon with this union.|<ul><li>This <span class=""kwb"">WARLORD</span> gains the <span class=""tooltip00668"" data-tooltip-content=""#tooltip_content00668"" data-tooltip-anchor=""#tooltip_content00668""><span class=""kwb"">DAEMON</span></span> and <span class=""tooltip00669"" data-tooltip-content=""#tooltip_content00669"" data-tooltip-anchor=""#tooltip_content00669""><span class=""kwb"">DAEMONKIN</span></span> keywords (if it doesn’t already have them).</li><li>This <span class=""kwb"">WARLORD</span> has a 4+ <a href=""/wh40k9ed/the-rules/core-rules/#Invulnerable-Saves"">invulnerable save</a> against ranged attacks.</li><li>Add 1 to the Strength"," Attacks and Wounds characteristics of this <span class=""kwb"">WARLORD</span>.</li><li>Add 2"" to the Move characteristic of this <span class=""kwb"">WARLORD</span>.</li></ul>|",,,,,,,,,,,
CSM|Chaos Space Marines|Word Bearers|3|DAEMONIC WHISPERS|Insidious voices seeping form the empyrean promise boons to this warlord," but such power must be earned.|Each time this <span class=""kwb"">WARLORD</span> chants a prayer that is heard"," completes an <a href=""/wh40k9ed/the-rules/core-rules/#Actions"">action</a> or <a href=""/wh40k9ed/the-rules/core-rules/#Performing-Psychic-Actions"">psychic action</a>"," or <a href=""/wh40k9ed/the-rules/core-rules/#Manifesting-Psychic-Powers"">manifests</a> a psychic power", roll one D6: if the result is greater than the current battle round number," you gain 1 <a href=""/wh40k9ed/the-rules/core-rules/#Command-Points"">Command point</a>.|",,,,,,,,
CSM|Chaos Space Marines|Word Bearers|4|MASTER OF THE UNION|This warlord leads his daemonic brethren with fearsome influence," drawing forth the unholy emotions of the corrupted.|In your <a href=""/wh40k9ed/the-rules/core-rules/#COMMAND-PHASE"">Command phase</a>"," you can select one friendly <span class=""tooltip01557"" data-tooltip-content=""#tooltip_content01557"" data-tooltip-anchor=""#tooltip_content01557""><span class=""kwb"">WORD</span> <span class=""kwb"">BEARERS</span> <span class=""kwb"">DAEMONKIN</span></span> unit within 6"" of this <span class=""kwb"">WARLORD</span>. Until the start of your next Command phase:<br><ul><li>Add 1 to the Strength characteristic of models in that unit.</li><li>Each time a model in that unit makes a melee attack", improve the Armour Penetration characteristic of that attack by 1.</li></ul>|,,,,,,,,,,
"CSM|Chaos Space Marines|Word Bearers|5|DIABOLIST|This warlord etches diabolical incantations into his armour and skin to channel the protection of the warp.|<ul><li>Each time an attack is made against this <span class=""kwb"">WARLORD</span>"," your opponent cannot re-roll the <a href=""/wh40k9ed/the-rules/core-rules/#2.-Wound-Roll"">wound roll</a>.</li><li>Each time this <span class=""kwb"">WARLORD</span> would lose a wound", roll one D6: on a 5+, that wound is not lost.</li></ul>|,,,,,,,,,,
